Sector,Year,Salary
Advanced Education,2017,116555.04
Advanced Education,2017,139920.82
Advanced Education,2017,133317.86
Advanced Education,2017,133317.86
Advanced Education,2017,107152.5
Advanced Education,2017,133317.86
Advanced Education,2017,133317.86
Advanced Education,2017,115733.8
Advanced Education,2017,130055.38
Advanced Education,2017,117157.88
Advanced Education,2017,133317.86
Advanced Education,2017,107152.5
Advanced Education,2017,109580.97
Advanced Education,2017,108636.15
Advanced Education,2017,133317.86
Advanced Education,2017,107152.5
Advanced Education,2017,137719.14
Advanced Education,2017,113829.82
Advanced Education,2017,118938.56
Advanced Education,2017,164060.78
Advanced Education,2017,164060.78
Advanced Education,2017,133317.86
Advanced Education,2017,118938.56
Advanced Education,2017,108136.34
Advanced Education,2017,107152.5
Advanced Education,2017,133317.86
Advanced Education,2017,200224.18
Advanced Education,2017,129270.44
Advanced Education,2017,118938.56
Advanced Education,2017,107152.5
Advanced Education,2017,107152.5
Advanced Education,2017,123677.75
Advanced Education,2017,119540.46
Advanced Education,2017,118938.56
Advanced Education,2017,118938.56
Advanced Education,2017,124288.58
Advanced Education,2017,118938.56
Advanced Education,2017,133317.86
Advanced Education,2017,118938.56
Advanced Education,2017,139293.96
Advanced Education,2017,107152.5
Advanced Education,2017,117175.38
Advanced Education,2017,107152.5
Advanced Education,2017,196854.58
Advanced Education,2017,122506.8
Advanced Education,2017,115724.7
Advanced Education,2017,107152.5
Advanced Education,2017,109001.1
Advanced Education,2017,107152.5
Advanced Education,2017,107152.5
Advanced Education,2017,118938.56
Advanced Education,2017,142585.56
Advanced Education,2017,108636.15
Advanced Education,2017,107152.5
Advanced Education,2017,137558.65
Advanced Education,2017,285877.28
Advanced Education,2017,143983.32
Advanced Education,2017,114589.02
Advanced Education,2017,107152.5
Advanced Education,2017,108570.21
Advanced Education,2017,133317.86
Advanced Education,2017,132164.91
Advanced Education,2017,119196.22
Advanced Education,2017,107152.5
Advanced Education,2017,133076.32
Advanced Education,2017,197737.28
Advanced Education,2017,143411.84
Advanced Education,2017,107152.5
Advanced Education,2017,107152.5
Advanced Education,2017,133317.86
Advanced Education,2017,133317.86
Advanced Education,2017,107152.5
Advanced Education,2017,133317.86
Advanced Education,2017,107152.5
Agriculture and Forestry,2017,133317.86
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,117240.37
Agriculture and Forestry,2017,128583.52
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,115724.7
Agriculture and Forestry,2017,133317.86
Agriculture and Forestry,2017,123798.22
Agriculture and Forestry,2017,133317.86
Agriculture and Forestry,2017,128583.52
Agriculture and Forestry,2017,127407.02
Agriculture and Forestry,2017,128583.52
Agriculture and Forestry,2017,164060.78
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,128583.52
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,116906.4
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,143983.32
Agriculture and Forestry,2017,134261.34
Agriculture and Forestry,2017,145740.14
Agriculture and Forestry,2017,120037.84
Agriculture and Forestry,2017,107991.8
Agriculture and Forestry,2017,108537.24
Agriculture and Forestry,2017,148915
Agriculture and Forestry,2017,199115.8
Agriculture and Forestry,2017,145909.66
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,145730.78
Agriculture and Forestry,2017,128583.52
Agriculture and Forestry,2017,114711.74
Agriculture and Forestry,2017,141324.04
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,119540.46
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,200404.88
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,108136.34
Agriculture and Forestry,2017,205076.04
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,122772
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,108254.64
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,122772
Agriculture and Forestry,2017,127858.38
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,133317.86
Agriculture and Forestry,2017,116388.74
Agriculture and Forestry,2017,118938.56
Agriculture and Forestry,2017,112891.15
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,107152.5
Agriculture and Forestry,2017,113581.66
Agriculture and Forestry,2017,133317.86
Agriculture and Forestry,2017,164060.78
Agriculture and Forestry,2017,133317.86
Agriculture and Forestry,2017,130384.28
Agriculture and Forestry,2017,132997.28
Agriculture and Forestry,2017,164060.78
Agriculture and Forestry,2017,119838.68
Agriculture and Forestry,2017,119838.68
