Department,Salary,Year
Fire and Rescue Services,"92,210.44",2008
Fire and Rescue Services,"75,109.89",2008
Fire and Rescue Services,"81,481.68",2008
Community Services,"133,855.38",2008
Business Planning & Services,"114,202.66",2008
Engineering Services,"141,691.25",2008
Community Services,"75,914.48",2008
Engineering Services,"85,400.33",2008
Fire and Rescue Services,"87,562.97",2008
Community Services,"85,016.15",2008
Community Services,"75,890.20",2008
Office of the City Manager,"208,790.22",2008
Fire and Rescue Services,"89,628.27",2008
Fire and Rescue Services,"82,303.88",2008
Engineering Services,"86,423.39",2008
Fire and Rescue Services,"75,906.90",2008
Fire and Rescue Services,"114,861.63",2008
Business Planning & Services,"93,243.96",2008
Business Planning & Services,"83,851.99",2008
Community Services,"78,584.13",2008
Engineering Services,"78,486.51",2008
Engineering Services,"77,571.15",2008
Engineering Services,"83,851.99",2008
Office of the City Manager,"165,823.69",2008
Fire and Rescue Services,"80,078.35",2008
Board of Parks & Recreation,"90,403.13",2008
Law Department,"128,177.71",2008
Fire and Rescue Services,"76,316.84",2008
Fire and Rescue Services,"77,981.35",2008
Community Services,"91,134.52",2008
Fire and Rescue Services,"88,175.89",2008
Engineering Services,"102,462.33",2008
Business Planning & Services,"98,475.41",2008
Community Services,"141,989.31",2008
Fire and Rescue Services,"90,075.22",2008
Engineering Services,"91,154.35",2008
Fire and Rescue Services,"76,535.73",2008
Engineering Services,"104,400.53",2008
Community Services,"75,067.46",2008
Engineering Services,"78,722.55",2008
Engineering Services,"76,224.16",2008
Fire and Rescue Services,"75,364.00",2008
Fire and Rescue Services,"75,167.80",2008
Engineering Services,"114,062.05",2008
Fire and Rescue Services,"79,685.88",2008
Engineering Services,"76,044.97",2008
Fire and Rescue Services,"90,542.44",2008
Business Planning & Services,"126,670.44",2008
Board of Parks & Recreation,"75,341.64",2008
Community Services,"114,754.62",2008
Engineering Services,"109,357.23",2008
Fire and Rescue Services,"77,709.14",2008
Community Services,"76,022.50",2008
Business Planning & Services,"103,711.06",2008
City Clerk's Office,"154,088.75",2008
Business Planning & Services,"188,281.26",2008
Engineering Services,"83,851.99",2008
Fire and Rescue Services,"93,159.94",2008
Engineering Services,"75,123.96",2008
Engineering Services,"117,364.88",2008
Fire and Rescue Services,"75,667.05",2008
City Clerk's Office,"93,243.97",2008
City Clerk's Office,"114,754.62",2008
Engineering Services,"75,678.04",2008
Engineering Services,"90,793.87",2008
Fire and Rescue Services,"91,431.06",2008
Engineering Services,"90,875.35",2008
Engineering Services,"79,553.02",2008
Engineering Services,"75,156.27",2008
Engineering Services,"90,596.75",2008
Community Services,"75,702.83",2008
Community Services,"75,696.78",2008
Law Department,"138,639.83",2008
Engineering Services,"143,674.51",2008
Community Services,"97,837.78",2008
Engineering Services,"75,929.63",2008
Engineering Services,"83,851.99",2008
Engineering Services,"76,889.77",2008
Vancouver Public Library Board,"75,031.08",2008
Fire and Rescue Services,"76,252.64",2008
Law Department,"133,827.65",2008
Fire and Rescue Services,"78,224.21",2008
Fire and Rescue Services,"102,308.56",2008
Community Services,"81,963.08",2008
Human Resource Services,"83,851.99",2008
Human Resource Services,"86,997.80",2008
Community Services,"117,120.49",2008
Fire and Rescue Services,"84,465.26",2008
Fire and Rescue Services,"83,877.01",2008
Human Resource Services,"83,851.99",2008
Engineering Services,"78,897.52",2008
Fire and Rescue Services,"87,118.30",2008
Fire and Rescue Services,"76,043.52",2008
Fire and Rescue Services,"78,700.72",2008
Fire and Rescue Services,"83,371.75",2008
Fire and Rescue Services,"76,270.38",2008
Business Planning & Services,"109,023.15",2008
Community Services,"86,668.33",2008
Fire and Rescue Services,"76,415.68",2008
Engineering Services,"114,015.23",2008
Fire and Rescue Services,"86,392.18",2008
Engineering Services,"109,825.14",2008
Fire and Rescue Services,"82,627.90",2008
Business Planning & Services,"145,899.22",2008
Community Services,"75,914.49",2008
Community Services,"97,837.79",2008
Fire and Rescue Services,"79,097.06",2008
Engineering Services,"105,592.03",2008
Fire and Rescue Services,"93,791.56",2008
Fire and Rescue Services,"88,625.06",2008
Fire and Rescue Services,"78,062.71",2008
Vancouver Public Library Board,"75,022.85",2008
Fire and Rescue Services,"78,709.86",2008
Fire and Rescue Services,"96,532.37",2008
Fire and Rescue Services,"76,337.06",2008
Fire and Rescue Services,"92,788.91",2008
Fire and Rescue Services,"76,249.20",2008
Board of Parks & Recreation,"95,102.20",2008
Fire and Rescue Services,"105,709.38",2008
Engineering Services,"103,759.11",2008
Fire and Rescue Services,"79,102.76",2008
Engineering Services,"94,746.16",2008
Fire and Rescue Services,"90,894.40",2008
Engineering Services,"80,387.79",2008
Business Planning & Services,"120,127.22",2008
Fire and Rescue Services,"91,711.72",2008
Fire and Rescue Services,"77,445.31",2008
Fire and Rescue Services,"88,738.92",2008
Community Services,"79,813.48",2008
City Clerk's Office,"93,243.96",2008
Engineering Services,"83,852.01",2008
Fire and Rescue Services,"78,821.56",2008
Community Services,"75,914.49",2008
City Clerk's Office,"102,825.70",2008
Fire and Rescue Services,"75,333.68",2008
Business Planning & Services,"85,030.90",2008
Fire and Rescue Services,"86,413.34",2008
Engineering Services,"101,863.68",2008
Fire and Rescue Services,"83,103.23",2008
Fire and Rescue Services,"93,200.97",2008
Engineering Services,"89,013.80",2008
Fire and Rescue Services,"96,589.92",2008
Fire and Rescue Services,"83,751.18",2008
Fire and Rescue Services,"76,599.16",2008
Fire and Rescue Services,"90,469.87",2008
Community Services,"77,825.57",2008
Fire and Rescue Services,"78,395.36",2008
Engineering Services,"84,203.37",2008
Fire and Rescue Services,"78,483.64",2008
Engineering Services,"126,994.25",2008
Engineering Services,"95,718.94",2008
Fire and Rescue Services,"77,996.96",2008
Fire and Rescue Services,"84,407.18",2008
Community Services,"75,851.11",2008
Board of Parks & Recreation,"116,181.62",2008
Fire and Rescue Services,"80,531.26",2008
Fire and Rescue Services,"77,565.21",2008
Fire and Rescue Services,"76,468.45",2008
Engineering Services,"82,087.74",2008
Fire and Rescue Services,"76,267.93",2008
Business Planning & Services,"75,199.67",2008
Financial Services,"93,949.56",2008
City Clerk's Office,"77,914.97",2008
Fire and Rescue Services,"113,597.54",2008
Fire and Rescue Services,"76,181.05",2008
Financial Services,"96,568.97",2008
Vancouver Public Library Board,"106,627.10",2008
Financial Services,"111,353.74",2008
Vancouver Public Library Board,"105,823.57",2008
Engineering Services,"80,902.16",2008
Community Services,"76,678.40",2008
Community Services,"103,242.59",2008
Engineering Services,"81,955.42",2008
Engineering Services,"94,214.27",2008
Engineering Services,"76,870.09",2008
Fire and Rescue Services,"92,543.28",2008
Human Resource Services,"136,646.46",2008
Financial Services,"94,520.27",2008
Fire and Rescue Services,"93,901.27",2008
Fire and Rescue Services,"79,097.85",2008
Engineering Services,"93,243.97",2008
Business Planning & Services,"101,327.28",2008
Engineering Services,"85,026.17",2008
Fire and Rescue Services,"84,920.89",2008
Business Planning & Services,"100,933.59",2008
Fire and Rescue Services,"78,625.96",2008
Engineering Services,"94,060.16",2008
Fire and Rescue Services,"75,357.56",2008
Fire and Rescue Services,"77,426.44",2008
Engineering Services,"83,859.53",2008
Fire and Rescue Services,"84,184.72",2008
Fire and Rescue Services,"75,681.39",2008
Community Services,"75,536.50",2008
Fire and Rescue Services,"87,107.80",2008
Community Services,"76,022.49",2008
Fire and Rescue Services,"78,718.83",2008
Fire and Rescue Services,"79,869.84",2008
Law Department,"225,217.75",2008
Fire and Rescue Services,"78,568.23",2008
Fire and Rescue Services,"93,497.07",2008
